[[14, 15, 13, 11], [1, 12, 15, 14], [8, 10, 13, 12], [9, 3, 11, 10], [7, 2, 9, 8], [2, 3, 1, 7]]
[[13, 14, 12, 10], [1, 11, 14, 13], [2, 9, 12, 11], [8, 7, 10, 9], [1, 5, 6, 8], [2, 7, 6, 5]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [9, 3, 11, 10], [3, 7, 8, 9], [1, 2, 8, 7]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [9, 4, 11, 10], [1, 7, 8, 9], [4, 2, 8, 7]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [9, 8, 11, 10], [3, 1, 7, 9], [2, 3, 8, 7]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [9, 8, 11, 10], [3, 2, 7, 9], [1, 3, 8, 7]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [9, 8, 11, 10], [3, 1, 7, 9], [3, 2, 8, 7]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [9, 8, 11, 10], [1, 4, 7, 9], [2, 4, 8, 7]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [9, 3, 11, 10], [7, 8, 2, 9], [3, 1, 8, 7]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [9, 3, 11, 10], [7, 8, 1, 9], [3, 2, 8, 7]]
[[15, 16, 14, 12], [1, 13, 16, 15], [2, 11, 14, 13], [10, 4, 12, 11], [3, 9, 2, 10], [4, 1, 3, 9]]
[[15, 16, 14, 12], [1, 13, 16, 15], [2, 11, 14, 13], [10, 3, 12, 11], [3, 9, 4, 10], [4, 1, 2, 9]]
[[15, 16, 14, 12], [1, 13, 16, 15], [2, 11, 14, 13], [10, 4, 12, 11], [3, 9, 1, 10], [4, 3, 2, 9]]
[[15, 16, 14, 12], [1, 13, 16, 15], [2, 11, 14, 13], [10, 4, 12, 11], [3, 4, 9, 10], [1, 3, 2, 9]]
[[15, 16, 14, 12], [1, 13, 16, 15], [2, 11, 14, 13], [10, 5, 12, 11], [3, 1, 9, 10], [5, 3, 2, 9]]
[[15, 16, 14, 12], [1, 13, 16, 15], [2, 11, 14, 13], [10, 9, 12, 11], [3, 1, 5, 10], [2, 3, 5, 9]]
[[15, 16, 14, 12], [1, 13, 16, 15], [2, 11, 14, 13], [10, 9, 12, 11], [3, 4, 1, 10], [4, 3, 2, 9]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [1, 9, 11, 10], [4, 7, 8, 9], [2, 4, 8, 7]]
[[14, 15, 13, 11], [1, 12, 15, 14], [2, 10, 13, 12], [1, 9, 11, 10], [7, 8, 4, 9], [4, 2, 8, 7]]
[[15, 16, 14, 12], [10, 13, 16, 15], [4, 11, 14, 13], [9, 4, 12, 11], [1, 2, 3, 10], [1, 3, 2, 9]]
[[13, 14, 12, 10], [9, 11, 14, 13], [6, 1, 12, 11], [8, 7, 9, 10], [2, 5, 7, 8], [1, 2, 6, 5]]
[[13, 14, 12, 10], [9, 11, 14, 13], [8, 1, 12, 11], [2, 7, 9, 10], [5, 6, 8, 7], [1, 2, 6, 5]]
[[13, 14, 12, 10], [9, 11, 14, 13], [8, 6, 12, 11], [2, 7, 9, 10], [1, 5, 8, 7], [2, 1, 6, 5]]
[[13, 14, 12, 10], [9, 11, 14, 13], [8, 5, 12, 11], [6, 7, 9, 10], [1, 2, 8, 7], [1, 2, 6, 5]]
[[14, 15, 13, 11], [10, 12, 15, 14], [9, 2, 13, 12], [3, 8, 10, 11], [7, 1, 9, 8], [1, 2, 3, 7]]
[[13, 14, 12, 10], [9, 11, 14, 13], [2, 5, 12, 11], [8, 1, 9, 10], [6, 7, 2, 8], [1, 7, 6, 5]]
[[14, 15, 13, 11], [10, 12, 15, 14], [2, 3, 13, 12], [9, 1, 10, 11], [1, 7, 8, 9], [2, 3, 8, 7]]
[[14, 15, 13, 11], [10, 12, 15, 14], [2, 1, 13, 12], [9, 1, 10, 11], [4, 7, 8, 9], [2, 4, 8, 7]]
[[14, 15, 13, 11], [10, 12, 15, 14], [2, 3, 13, 12], [9, 7, 10, 11], [1, 2, 8, 9], [3, 1, 7, 8]]
[[14, 15, 13, 11], [10, 12, 15, 14], [2, 3, 13, 12], [9, 7, 10, 11], [2, 1, 8, 9], [3, 1, 7, 8]]
[[14, 15, 13, 11], [10, 12, 15, 14], [2, 3, 13, 12], [9, 7, 10, 11], [1, 3, 8, 9], [2, 1, 7, 8]]
[[14, 15, 13, 11], [10, 12, 15, 14], [2, 7, 13, 12], [9, 1, 10, 11], [8, 2, 3, 9], [3, 1, 8, 7]]
[[14, 15, 13, 11], [10, 12, 15, 14], [2, 7, 13, 12], [9, 1, 10, 11], [8, 1, 3, 9], [3, 2, 8, 7]]
[[14, 15, 13, 11], [10, 12, 15, 14], [2, 3, 13, 12], [9, 1, 10, 11], [7, 8, 3, 9], [1, 2, 8, 7]]
[[14, 15, 13, 11], [10, 12, 15, 14], [2, 3, 13, 12], [9, 1, 10, 11], [7, 8, 2, 9], [1, 3, 8, 7]]
[[14, 15, 13, 11], [10, 12, 15, 14], [2, 1, 13, 12], [9, 1, 10, 11], [7, 8, 4, 9], [4, 2, 8, 7]]
[[15, 16, 14, 12], [11, 13, 16, 15], [2, 3, 14, 13], [10, 1, 11, 12], [4, 9, 3, 10], [1, 2, 4, 9]]
[[15, 16, 14, 12], [11, 13, 16, 15], [2, 3, 14, 13], [10, 1, 11, 12], [1, 9, 5, 10], [5, 2, 3, 9]]
[[13, 14, 12, 6], [1, 11, 14, 13], [10, 9, 12, 11], [2, 7, 8, 10], [5, 9, 8, 7], [1, 2, 6, 5]]
[[14, 15, 13, 3], [1, 12, 15, 14], [11, 10, 13, 12], [2, 8, 9, 11], [7, 10, 9, 8], [3, 1, 2, 7]]
[[14, 15, 13, 3], [1, 12, 15, 14], [11, 8, 13, 12], [2, 9, 10, 11], [3, 7, 10, 9], [1, 2, 8, 7]]
[[14, 15, 13, 3], [1, 12, 15, 14], [11, 8, 13, 12], [2, 9, 10, 11], [3, 7, 10, 9], [2, 1, 8, 7]]
[[14, 15, 13, 2], [1, 12, 15, 14], [11, 8, 13, 12], [2, 9, 10, 11], [3, 7, 10, 9], [1, 3, 8, 7]]
[[14, 15, 13, 4], [1, 12, 15, 14], [11, 8, 13, 12], [2, 9, 10, 11], [1, 7, 10, 9], [4, 2, 8, 7]]
[[14, 15, 13, 3], [1, 12, 15, 14], [11, 2, 13, 12], [7, 9, 10, 11], [8, 1, 10, 9], [2, 3, 8, 7]]
[[14, 15, 13, 4], [1, 12, 15, 14], [11, 2, 13, 12], [7, 9, 10, 11], [8, 4, 10, 9], [2, 1, 8, 7]]
[[15, 16, 14, 4], [1, 13, 16, 15], [12, 3, 14, 13], [2, 10, 11, 12], [9, 1, 11, 10], [3, 4, 2, 9]]
[[15, 16, 14, 4], [1, 13, 16, 15], [12, 2, 14, 13], [2, 10, 11, 12], [9, 3, 11, 10], [3, 4, 1, 9]]
[[15, 16, 14, 6], [1, 13, 16, 15], [12, 3, 14, 13], [2, 10, 11, 12], [9, 6, 11, 10], [3, 2, 1, 9]]
[[15, 16, 14, 4], [1, 13, 16, 15], [12, 3, 14, 13], [2, 10, 11, 12], [3, 9, 11, 10], [4, 2, 1, 9]]
[[15, 16, 14, 3], [1, 13, 16, 15], [12, 4, 14, 13], [2, 10, 11, 12], [3, 9, 11, 10], [4, 2, 1, 9]]
[[15, 16, 14, 3], [1, 13, 16, 15], [12, 9, 14, 13], [2, 10, 11, 12], [3, 4, 11, 10], [1, 2, 4, 9]]
[[14, 15, 13, 3], [1, 12, 15, 14], [11, 10, 13, 12], [2, 3, 9, 11], [7, 8, 10, 9], [1, 2, 8, 7]]
